timestamp,user_input,recommended_ids,scores,feedback,method
2025-11-03T03:36:22.293050,"leche,huevos,tomate","[13314, 7722]","[0.33519784983101303, 0.2640205213139994]",,tfidf
2025-11-03T03:37:25.940753,"milk, eggs, tomato","[2717, 6372]","[0.23493117061416674, 0.2022923458560504]",,tfidf
2025-11-03T03:37:57.729800,"milk, tomato, potatoes","[2717, 6372]","[0.23493117061416674, 0.2022923458560504]",,tfidf
2025-11-03T03:39:19.913119,spinach,"[373, 10515]","[0.2592159069146247, 0.2582858227931291]",,tfidf
2025-11-03T03:39:51.117486,milk,"[2717, 6372]","[0.3289802434825821, 0.2832752461940573]",,tfidf
2025-11-03T03:40:05.891351,"eggs, spinach","[373, 10515]","[0.2592159069146247, 0.2582858227931291]",,tfidf
